      Skeleton      	     bodyID      	 Motion 	Length
S005C002P004R001A002	72057594037931915	0.195047	  1   
S005C002P004R001A002	72057594037931959	0.206615	  1   
S005C002P004R001A004	72057594037931915	0.195047	  1   
S005C002P004R001A004	72057594037931959	0.206615	  1   
S005C002P004R001A005	72057594037931915	0.195047	  1   
S005C002P004R001A005	72057594037931959	0.206615	  1   
S005C002P004R001A006	72057594037931915	0.195047	  1   
S005C002P004R001A006	72057594037931959	0.206615	  1   
S005C002P004R001A016	72057594037932862	0.098730	  1   
S005C002P004R001A017	72057594037932862	0.098730	  1   
S005C002P004R001A018	72057594037932862	0.098730	  1   
S005C002P004R001A019	72057594037932862	0.098730	  1   
S005C002P004R001A020	72057594037932862	0.098730	  1   
S005C002P004R001A021	72057594037932862	0.098730	  1   
S005C002P004R001A022	72057594037932862	0.098730	  1   
S005C002P004R001A023	72057594037932862	0.098730	  1   
S005C002P004R001A024	72057594037932862	0.098730	  1   
S005C002P004R001A025	72057594037932862	0.098730	  1   
S005C002P004R001A026	72057594037932862	0.098730	  1   
S005C002P004R001A056	72057594037932876	0.206340	  1   
S005C002P004R001A057	72057594037932876	0.206340	  1   
S005C002P004R001A058	72057594037932876	0.206340	  1   
S005C002P004R001A059	72057594037933025	0.203668	  1   
S005C002P004R001A059	72057594037932876	0.206340	  1   
S005C002P004R001A060	72057594037933025	0.203668	  1   
S005C002P004R001A060	72057594037932876	0.206340	  1   
S005C002P004R001A060	72057594037933124	0.220210	  9   
S005C002P004R002A001	72057594037933025	0.203668	  1   
S005C002P004R002A001	72057594037932876	0.206340	  1   
S005C002P004R002A003	72057594037933202	0.210754	  1   
S005C002P004R002A004	72057594037933202	0.210754	  1   
S005C002P004R002A005	72057594037933202	0.210754	  1   
S005C002P004R002A006	72057594037933202	0.210754	  1   
S005C002P004R002A007	72057594037933202	0.210754	  1   
S005C002P004R002A008	72057594037933202	0.210754	  1   
S005C002P004R002A014	72057594037933212	0.122011	  1   
S005C002P004R002A015	72057594037933212	0.122011	  1   
S005C002P004R002A016	72057594037933212	0.122011	  1   
S005C002P004R002A017	72057594037933212	0.122011	  1   
S005C002P004R002A018	72057594037933212	0.122011	  1   
S005C002P004R002A019	72057594037933212	0.122011	  1   
S005C002P004R002A020	72057594037933212	0.122011	  1   
S005C002P004R002A021	72057594037933212	0.122011	  1   
S005C002P004R002A022	72057594037933212	0.122011	  1   
S005C002P004R002A023	72057594037933212	0.122011	  1   
S005C002P004R002A024	72057594037933212	0.122011	  1   
S005C002P004R002A025	72057594037933212	0.122011	  1   
S005C002P004R002A026	72057594037933212	0.122011	  1   
S005C002P004R002A027	72057594037933212	0.122011	  1   
S005C002P004R002A028	72057594037933212	0.122011	  1   
S005C002P004R002A029	72057594037933212	0.122011	  1   
S005C002P004R002A030	72057594037933212	0.122011	  1   
S005C002P004R002A031	72057594037933212	0.122011	  1   
S005C002P004R002A032	72057594037933212	0.122011	  1   
S005C002P004R002A033	72057594037933212	0.122011	  1   
S005C002P004R002A034	72057594037933212	0.122011	  1   
S005C002P004R002A035	72057594037933212	0.122011	  1   
S005C002P004R002A036	72057594037933212	0.122011	  1   
S005C002P004R002A037	72057594037933212	0.122011	  1   
S005C002P004R002A038	72057594037933212	0.122011	  1   
S005C002P004R002A039	72057594037933212	0.122011	  1   
S005C002P004R002A040	72057594037933212	0.122011	  1   
S005C002P004R002A041	72057594037933212	0.122011	  1   
S005C002P004R002A042	72057594037933212	0.122011	  1   
S005C002P004R002A043	72057594037933212	0.122011	  1   
S005C002P004R002A044	72057594037933212	0.122011	  1   
S005C002P004R002A045	72057594037933212	0.122011	  1   
S005C002P004R002A046	72057594037933212	0.122011	  1   
S005C002P004R002A047	72057594037933212	0.122011	  1   
S005C002P004R002A048	72057594037933212	0.122011	  1   
S005C002P004R002A049	72057594037933212	0.122011	  1   
S005C002P013R002A059	72057594037934299	0.185798	  1   
S005C002P016R001A050	72057594037936405	0.189760	  3   
S005C003P016R002A060	72057594037929501	0.059073	  8   
S005C003P018R001A059	72057594037930766	0.154031	  6   
S006C001P015R001A059	72057594037942026	0.164790	  5   
S006C002P016R001A008	72057594037944587	0.127173	  1   
S007C001P019R002A050	72057594037933931	0.122199	  4   
S007C001P026R001A059	72057594037939588	0.255253	  6   
S007C002P007R001A020	72057594037936766	0.206275	  2   
S007C002P015R001A028	72057594037968830	0.162939	  1   
S007C002P015R001A029	72057594037968830	0.162939	  1   
S007C002P015R001A030	72057594037968830	0.162939	  1   
S007C002P015R001A031	72057594037968830	0.162939	  1   
S008C001P001R001A060	72057594037932033	0.136471	  4   
S008C001P019R001A060	72057594037928391	0.233418	  10  
S008C001P019R002A057	72057594037928545	0.191962	  1   
S008C002P019R001A059	72057594037931143	0.178150	  5   
S008C002P035R002A001	72057594037946690	0.183041	  1   
S008C002P035R002A003	72057594037946664	0.202035	  1   
S008C002P035R002A003	72057594037946690	0.183041	  1   
S008C002P035R002A004	72057594037946664	0.202035	  1   
S008C002P035R002A004	72057594037946690	0.183041	  1   
S008C002P035R002A006	72057594037946664	0.202035	  1   
S008C002P035R002A006	72057594037946690	0.183041	  1   
S008C002P035R002A007	72057594037946664	0.202035	  1   
S008C002P035R002A007	72057594037946690	0.183041	  1   
S008C002P035R002A011	72057594037946815	0.183479	  1   
S008C002P035R002A012	72057594037946815	0.183479	  1   
S008C003P033R001A057	72057594037943623	0.187818	  4   
S009C002P019R001A055	72057594037932249	0.246140	  10  
S009C002P025R002A050	72057594037931975	0.218448	  11  
S010C001P013R001A059	72057594037939780	0.211311	  5   
S010C001P017R001A007	72057594037943225	0.132886	  10  
S010C001P018R002A008	72057594037937067	0.102566	  11  
S010C002P007R002A014	72057594037936235	0.273672	  11  
S010C002P017R002A056	72057594037947210	0.168448	  9   
S011C001P017R001A059	72057594037946674	0.155771	  2   
S011C002P008R002A060	72057594037930953	0.168515	  8   
S012C001P019R002A059	72057594037930677	0.149617	  3   
S012C003P018R001A060	72057594037935629	0.043739	  2   
S013C001P025R002A001	72057594037929378	0.179334	  1   
S013C001P025R002A001	72057594037929450	0.199673	  1   
S013C001P037R001A056	72057594037931152	0.058175	  8   
S014C002P007R002A059	72057594037928949	0.226410	  10  
S014C002P008R002A059	72057594037929145	0.178146	  10  
S014C002P039R002A060	72057594037931988	3.615523	  1   
S015C001P015R001A055	72057594037931641	0.089640	  8   
S015C002P007R001A060	72057594037929225	0.129542	  5   
S015C002P019R001A059	72057594037930315	0.228845	  7   
S015C003P008R002A059	72057594037931108	0.182812	  10  
S015C003P015R002A008	72057594037932373	0.131637	  4   
S015C003P017R001A018	72057594037932612	0.103902	  6   
S015C003P019R001A059	72057594037930683	0.193127	  11  
S015C003P025R002A059	72057594037930475	0.175992	  5   
S015C003P037R001A059	72057594037931629	0.270707	  11  
S016C001P025R002A059	72057594037932214	0.177538	  2   
S016C002P008R001A060	72057594037931717	0.122560	  11  
S016C002P008R001A060	72057594037931704	0.129781	  11  
S016C002P039R002A057	72057594037929432	0.186682	  8   
S017C002P009R002A059	72057594037938902	0.217598	  9   
S017C003P007R002A059	72057594037935233	1.147402	  4   
S018C002P008R001A084	72057594037933513	0.177185	  1   
S018C002P008R001A085	72057594037933513	0.177185	  1   
S018C003P008R002A116	72057594037934930	0.185428	  11  
S018C003P045R002A106	72057594037939187	0.320264	  7   
S019C001P046R002A109	72057594037940125	0.220654	  11  
S019C002P008R002A116	72057594037945553	2.766338	  2   
S020C003P041R001A106	72057594037931191	0.076653	  5   
S020C003P044R001A106	72057594037931781	0.235122	  11  
S020C003P052R002A092	72057594037929510	0.036921	  4   
S021C001P057R001A108	72057594037930860	0.196899	  5   
S021C001P060R002A106	72057594037933561	0.257238	  4   
S022C002P062R002A081	72057594037948049	1.860833	  3   
S022C002P065R001A107	72057594037957804	0.253889	  4   
S022C002P065R002A116	72057594037960334	0.052940	  9   
S023C002P068R001A110	72057594037939471	0.184208	  10  
S023C003P057R002A112	72057594037936923	0.241399	  1   
S026C001P008R001A116	72057594037936239	0.150371	  6   
S026C002P050R002A116	72057594037936597	0.153358	  10  
S026C002P069R002A116	72057594037931045	0.155283	  8   
S026C002P071R002A116	72057594037932946	0.280777	  5   
S026C003P051R001A116	72057594037933212	0.252282	  9   
S027C001P011R001A116	72057594037929799	0.182858	  3   
S027C002P008R002A116	72057594037933508	0.176986	  2   
S027C002P078R002A116	72057594037929106	0.182161	  7   
S027C002P081R002A116	72057594037933304	0.163329	  1   
S028C002P048R002A116	72057594037931080	0.244204	  10  
S028C002P087R002A116	72057594037933559	0.200100	  8   
S028C003P008R001A116	72057594037940843	0.206111	  8   
S028C003P043R001A116	72057594037930449	0.237478	  9   
S029C001P051R002A117	72057594037939661	0.160556	  10  
S029C002P043R001A115	72057594037943115	0.130117	  11  
S029C002P043R001A116	72057594037943151	0.213082	  11  
S029C002P043R002A089	72057594037943318	0.255160	  1   
S029C003P006R001A095	72057594037932306	0.402677	  11  
S029C003P043R001A094	72057594037957673	0.288214	  4   
S029C003P043R002A108	72057594037959013	0.400351	  10  
S029C003P044R001A076	72057594037955302	3.518877	  8   
S029C003P044R002A094	72057594037956076	0.289948	  5   
S029C003P044R002A109	72057594037956300	0.158365	  9   
S029C003P044R002A109	72057594037956265	0.191530	  9   
S029C003P074R002A114	72057594037954722	0.205346	  6   
S029C003P089R001A116	72057594037939903	0.149637	  10  
S031C002P041R002A116	72057594037929697	0.229171	  3   
S031C002P043R001A106	72057594037928779	0.288592	  9   
S031C002P044R002A116	72057594037933067	0.231093	  3   
S032C003P067R001A106	72057594037930236	0.172917	  9   
S032C003P102R001A094	72057594037931571	0.138724	  1   
