      Skeleton      	num_frames	Actor1	Actor2	Start	End
S004C002P020R001A060	   110    	  13  	  0   	  0  	 1 
S004C002P020R002A060	   128    	  40  	  0   	  0  	 1 
S004C003P020R001A060	   116    	  15  	  0   	  0  	 1 
S005C001P010R001A050	    63    	  25  	  0   	  1  	 0 
S005C001P018R001A060	    88    	  4   	  0   	  0  	 1 
S005C001P021R001A060	   114    	  8   	  0   	  0  	 1 
S005C002P010R001A059	    99    	  42  	  0   	  1  	 0 
S005C002P010R002A060	    96    	  31  	  0   	  0  	 1 
S005C002P015R001A050	    57    	  27  	  0   	  1  	 0 
S005C002P021R001A056	    86    	  42  	  0   	  1  	 0 
S005C003P010R001A060	    78    	  7   	  0   	  0  	 1 
S005C003P010R002A060	    95    	  4   	  0   	  0  	 1 
S006C001P001R002A060	    70    	  8   	  0   	  0  	 1 
S006C001P007R002A059	    83    	  26  	  0   	  1  	 0 
S006C001P008R001A060	   108    	  9   	  0   	  0  	 1 
S006C002P007R001A050	    68    	  13  	  0   	  0  	 1 
S006C002P007R002A059	    82    	  28  	  0   	  1  	 0 
S006C002P007R002A060	   103    	  16  	  0   	  0  	 1 
S006C002P008R002A052	    73    	  5   	  0   	  0  	 1 
S006C002P015R001A052	    65    	  2   	  0   	  0  	 1 
S006C002P017R001A051	    55    	  25  	  0   	  1  	 0 
S006C002P019R001A052	    83    	  24  	  0   	  0  	 1 
S006C002P019R002A055	    83    	  32  	  0   	  0  	 1 
S006C002P024R002A060	    93    	  4   	  0   	  0  	 1 
S006C003P001R001A060	    80    	  32  	  0   	  0  	 1 
S006C003P008R001A060	   103    	  39  	  0   	  0  	 1 
S006C003P016R001A055	    70    	  37  	  0   	  0  	 1 
S006C003P022R001A059	    81    	  17  	  0   	  1  	 0 
S006C003P022R001A060	   109    	  35  	  0   	  0  	 1 
S006C003P022R002A050	    67    	  9   	  0   	  0  	 1 
S006C003P022R002A051	    59    	  16  	  0   	  0  	 1 
S006C003P022R002A059	   125    	  35  	  0   	  1  	 0 
S007C001P008R001A050	    57    	  9   	  0   	  1  	 0 
S007C001P008R001A060	   104    	  44  	  0   	  1  	 0 
S007C001P018R001A060	    80    	  1   	  0   	  0  	 1 
S007C001P019R001A059	    97    	  8   	  0   	  0  	 1 
S007C001P025R001A055	    62    	  21  	  0   	  0  	 1 
S007C001P025R001A057	   108    	  50  	  0   	  0  	 1 
S007C001P025R001A060	   118    	  6   	  0   	  0  	 1 
S007C001P025R002A050	    70    	  2   	  0   	  0  	 1 
S007C001P025R002A055	    56    	  23  	  0   	  0  	 1 
S007C001P026R001A060	    78    	  10  	  0   	  0  	 1 
S007C001P027R002A050	    59    	  30  	  0   	  1  	 0 
S007C001P028R001A060	    92    	  12  	  0   	  0  	 1 
S007C002P001R002A059	   104    	  36  	  0   	  1  	 0 
S007C002P007R001A056	    65    	  10  	  0   	  1  	 0 
S007C002P025R001A057	   108    	  1   	  0   	  0  	 1 
S007C003P001R001A057	    80    	  6   	  0   	  1  	 0 
S007C003P001R002A060	    77    	  11  	  0   	  0  	 1 
S007C003P018R001A060	    81    	  9   	  0   	  0  	 1 
S007C003P026R001A060	    79    	  13  	  0   	  0  	 1 
S008C001P019R001A055	    83    	  36  	  0   	  0  	 1 
S008C001P019R002A057	    67    	  31  	  0   	  0  	 1 
S008C001P025R002A057	   100    	  56  	  0   	  0  	 1 
S008C001P032R001A060	    81    	  14  	  0   	  0  	 1 
S008C001P034R001A060	    78    	  14  	  0   	  0  	 1 
S008C002P008R001A051	    65    	  4   	  0   	  0  	 1 
S008C002P019R002A060	    86    	  28  	  24  	  0  	 0 
S008C002P029R002A055	    76    	  24  	  0   	  0  	 1 
S008C002P029R002A060	    83    	  23  	  0   	  0  	 1 
S008C002P031R001A051	    58    	  25  	  0   	  1  	 0 
S008C002P032R001A050	    59    	  27  	  0   	  1  	 0 
S008C002P033R002A057	   174    	  44  	  0   	  0  	 0 
S008C002P034R001A052	    58    	  13  	  0   	  0  	 1 
S008C002P035R002A059	    60    	  6   	  0   	  1  	 0 
S008C003P001R001A055	    55    	  9   	  0   	  0  	 1 
S008C003P007R002A052	    57    	  13  	  0   	  0  	 1 
S008C003P008R002A051	    67    	  11  	  0   	  0  	 1 
S008C003P008R002A052	    83    	  16  	  0   	  0  	 1 
S008C003P025R001A051	    58    	  6   	  0   	  0  	 1 
S008C003P025R001A060	    80    	  29  	  0   	  0  	 1 
S008C003P029R001A060	    74    	  6   	  0   	  0  	 1 
S008C003P030R001A060	    80    	  16  	  0   	  0  	 1 
S008C003P031R002A060	    69    	  7   	  0   	  0  	 1 
S008C003P033R001A057	   166    	  43  	  0   	  0  	 1 
S008C003P033R001A060	    81    	  9   	  0   	  0  	 1 
S008C003P035R002A051	    47    	  2   	  0   	  0  	 1 
S008C003P035R002A052	    45    	  4   	  0   	  0  	 1 
S008C003P036R001A059	    69    	  5   	  0   	  1  	 0 
S008C003P036R001A060	    89    	  6   	  0   	  0  	 1 
S009C001P007R001A060	    95    	  5   	  0   	  0  	 1 
S009C002P008R001A060	    96    	  31  	  0   	  0  	 1 
S009C002P015R002A052	    56    	  3   	  0   	  1  	 0 
S009C002P019R001A060	    95    	  1   	  0   	  0  	 1 
S009C002P025R001A059	   107    	  29  	  0   	  0  	 1 
S009C003P007R001A059	    81    	  35  	  0   	  1  	 0 
S009C003P007R001A060	    95    	  21  	  0   	  0  	 1 
S009C003P015R002A060	    94    	  16  	  0   	  0  	 1 
S009C003P025R002A059	    92    	  7   	  0   	  0  	 1 
S010C001P008R001A060	    92    	  4   	  0   	  0  	 1 
S010C001P008R002A060	    84    	  4   	  0   	  0  	 1 
S010C001P018R001A059	   113    	  36  	  0   	  1  	 0 
S010C001P018R002A059	   104    	  37  	  0   	  1  	 0 
S010C002P007R001A060	    95    	  2   	  0   	  0  	 1 
S010C002P008R001A060	    97    	  9   	  0   	  0  	 1 
S010C002P013R001A059	    82    	  43  	  0   	  1  	 0 
S010C002P016R001A060	   101    	  7   	  0   	  0  	 1 
S010C002P017R002A060	    97    	  30  	  0   	  0  	 1 
S010C002P025R002A059	   111    	  45  	  14  	  1  	 0 
S010C003P008R002A060	    99    	  19  	  0   	  0  	 1 
S010C003P017R001A060	    93    	  28  	  0   	  0  	 1 
S010C003P019R002A057	    72    	  8   	  0   	  0  	 1 
S011C001P002R001A060	    77    	  17  	  0   	  0  	 1 
S011C001P015R002A051	    53    	  17  	  0   	  1  	 0 
S011C001P018R002A056	    87    	  72  	  0   	  1  	 0 
S011C001P018R002A060	    95    	  38  	  0   	  0  	 1 
S011C001P025R002A060	    99    	  26  	  24  	  0  	 1 
S011C002P001R001A060	    79    	  13  	  0   	  0  	 1 
S011C002P002R001A060	    78    	  9   	  0   	  0  	 1 
S011C002P007R001A060	    85    	  12  	  0   	  0  	 1 
S011C002P018R002A056	    85    	  70  	  0   	  1  	 0 
S011C002P018R002A060	    96    	  10  	  0   	  0  	 1 
S011C002P025R002A059	    91    	  29  	  16  	  1  	 0 
S011C002P025R002A060	    98    	  23  	  0   	  0  	 1 
S011C002P027R002A060	   108    	  30  	  28  	  1  	 0 
S011C003P007R002A060	    81    	  5   	  0   	  0  	 1 
S011C003P008R002A060	    90    	  33  	  0   	  0  	 1 
S011C003P017R001A053	    75    	  1   	  0   	  1  	 0 
S011C003P017R001A060	    87    	  22  	  13  	  0  	 1 
S012C001P017R002A060	    97    	  37  	  0   	  0  	 1 
S012C001P018R002A060	    84    	  20  	  0   	  0  	 1 
S012C001P028R002A060	    94    	  19  	  0   	  0  	 1 
S012C002P007R001A060	    88    	  17  	  0   	  0  	 1 
S012C002P008R001A060	   112    	  16  	  0   	  0  	 1 
S012C002P008R002A060	    90    	  32  	  7   	  0  	 0 
S012C002P016R002A060	    89    	  11  	  7   	  1  	 0 
S012C002P017R002A060	    96    	  28  	  0   	  0  	 1 
S012C002P018R002A060	    84    	  12  	  0   	  0  	 1 
S012C002P019R002A050	    49    	  11  	  0   	  0  	 1 
S012C002P025R002A060	   103    	  5   	  0   	  0  	 1 
S012C002P037R001A060	   120    	  46  	  0   	  0  	 1 
S012C003P017R002A060	    96    	  16  	  0   	  1  	 1 
S012C003P037R001A059	    73    	  15  	  6   	  0  	 1 
S012C003P037R001A060	    81    	  9   	  0   	  0  	 1 
S013C001P008R002A060	    95    	  7   	  0   	  0  	 1 
S013C001P015R002A060	    86    	  2   	  0   	  0  	 1 
S013C001P016R001A060	   106    	  8   	  0   	  0  	 1 
S013C001P019R002A060	   107    	  36  	  26  	  1  	 0 
S013C002P008R001A060	    79    	  9   	  0   	  0  	 1 
S013C002P016R001A060	   106    	  23  	  0   	  0  	 1 
S014C002P008R001A060	   102    	  6   	  0   	  0  	 1 
S014C002P008R002A059	    54    	  19  	  10  	  1  	 0 
S014C002P025R002A060	    97    	  12  	  0   	  0  	 1 
S014C003P007R002A056	    77    	  26  	  0   	  1  	 0 
S015C001P015R001A060	    99    	  10  	  0   	  0  	 1 
S015C001P015R002A060	    91    	  12  	  0   	  0  	 1 
S015C001P025R002A052	    73    	  6   	  0   	  0  	 1 
S015C001P037R002A060	    92    	  20  	  0   	  0  	 1 
S015C002P007R002A059	    67    	  5   	  0   	  1  	 0 
S015C002P008R002A060	    87    	  10  	  0   	  0  	 1 
S015C002P015R001A060	    98    	  22  	  0   	  0  	 1 
S015C002P015R002A060	    89    	  5   	  0   	  0  	 1 
S015C002P017R002A060	    85    	  6   	  0   	  0  	 1 
S015C002P019R002A060	   104    	  10  	  0   	  0  	 1 
S015C003P015R001A060	    99    	  22  	  0   	  0  	 1 
S015C003P025R001A055	    62    	  18  	  0   	  0  	 1 
S016C001P007R001A060	    99    	  3   	  0   	  0  	 1 
S016C001P021R001A059	   133    	  72  	  0   	  1  	 0 
S016C001P021R002A060	   110    	  26  	  0   	  0  	 1 
S016C001P039R001A060	    96    	  15  	  0   	  0  	 1 
S016C002P007R002A060	    95    	  24  	  0   	  0  	 1 
S016C002P021R001A060	   105    	  3   	  0   	  0  	 1 
S016C002P039R001A060	    96    	  20  	  0   	  0  	 1 
S016C002P040R002A060	    65    	  12  	  3   	  0  	 1 
S016C003P007R002A060	   104    	  2   	  0   	  0  	 1 
S016C003P025R001A060	   113    	  26  	  0   	  0  	 1 
S016C003P039R001A060	    96    	  64  	  11  	  1  	 1 
S016C003P039R002A060	    92    	  3   	  0   	  0  	 1 
S016C003P040R001A060	    98    	  58  	  48  	  1  	 1 
S017C001P003R001A060	   102    	  13  	  0   	  0  	 1 
S017C001P020R001A060	   116    	  33  	  0   	  0  	 1 
S017C001P020R002A060	    77    	  6   	  0   	  0  	 1 
S017C002P003R001A060	   103    	  5   	  0   	  0  	 1 
S017C002P007R002A060	    92    	  19  	  0   	  0  	 1 
S017C002P008R001A060	    85    	  12  	  0   	  0  	 1 
S017C002P008R002A060	    87    	  22  	  0   	  0  	 1 
S017C002P009R001A060	   109    	  14  	  0   	  0  	 1 
S017C002P015R001A060	   123    	  16  	  0   	  0  	 1 
S017C002P020R001A060	   117    	  31  	  0   	  0  	 1 
S017C003P009R001A059	    54    	  20  	  0   	  1  	 0 
S017C003P020R001A060	   111    	  26  	  7   	  0  	 1 
S018C001P044R001A116	    83    	  7   	  0   	  0  	 1 
S018C002P041R001A114	   160    	  64  	  0   	  0  	 1 
S018C002P041R002A108	    49    	  8   	  0   	  0  	 1 
S018C002P043R001A119	    88    	  28  	  0   	  0  	 1 
S018C003P043R001A120	    29    	  6   	  0   	  1  	 0 
S018C003P044R002A114	    66    	  2   	  0   	  0  	 1 
S019C001P049R001A116	   105    	  2   	  0   	  0  	 1 
S019C001P049R002A116	    99    	  11  	  0   	  0  	 1 
S019C001P050R001A116	    70    	  2   	  0   	  0  	 1 
S019C002P042R002A116	    89    	  26  	  0   	  0  	 0 
S019C002P042R002A119	    67    	  5   	  0   	  1  	 0 
S019C002P046R001A116	    67    	  1   	  0   	  0  	 1 
S019C002P047R002A116	    96    	  9   	  4   	  0  	 1 
S019C002P048R001A114	   107    	  7   	  0   	  0  	 1 
S019C002P048R002A114	   102    	  40  	  0   	  0  	 1 
S019C002P050R001A116	    72    	  13  	  0   	  0  	 1 
S019C002P050R001A117	    64    	  17  	  0   	  1  	 0 
S019C002P050R002A108	    85    	  35  	  0   	  0  	 1 
S019C002P051R001A116	    91    	  3   	  0   	  0  	 1 
S019C003P041R002A114	    70    	  20  	  0   	  1  	 0 
S019C003P050R001A116	    70    	  12  	  5   	  0  	 0 
S019C003P050R002A116	    99    	  15  	  0   	  0  	 1 
S019C003P051R001A116	    88    	  19  	  0   	  0  	 0 
S020C001P041R002A107	    46    	  23  	  0   	  1  	 0 
S020C001P044R001A106	    44    	  25  	  0   	  1  	 0 
S020C001P053R001A116	    65    	  7   	  0   	  0  	 1 
S020C002P041R002A107	    45    	  1   	  0   	  1  	 0 
S020C002P041R002A116	    67    	  18  	  0   	  0  	 1 
S020C002P043R002A116	    91    	  25  	  0   	  0  	 0 
S020C002P043R002A119	    81    	  6   	  0   	  0  	 1 
S020C002P052R002A119	    70    	  2   	  0   	  0  	 1 
S020C002P053R001A116	    67    	  17  	  0   	  0  	 1 
S020C003P008R002A114	    69    	  3   	  0   	  0  	 1 
S020C003P044R002A106	    55    	  23  	  0   	  1  	 0 
S020C003P052R002A116	    84    	  2   	  0   	  0  	 1 
S020C003P054R001A119	    96    	  12  	  0   	  0  	 1 
S021C001P055R002A108	    24    	  2   	  0   	  0  	 1 
S021C001P058R002A119	    89    	  66  	  0   	  0  	 1 
S021C001P059R001A120	    65    	  25  	  0   	  1  	 0 
S021C002P055R001A108	    27    	  4   	  0   	  0  	 1 
S021C002P057R001A119	    64    	  36  	  0   	  0  	 1 
S021C002P058R002A117	    39    	  19  	  0   	  1  	 0 
S021C002P059R002A119	    59    	  1   	  0   	  0  	 1 
S021C002P060R001A119	    78    	  47  	  0   	  0  	 1 
S021C003P057R001A117	    57    	  3   	  0   	  0  	 1 
S021C003P059R002A116	   110    	  17  	  0   	  0  	 1 
S021C003P060R002A108	    63    	  17  	  0   	  0  	 1 
S021C003P060R002A117	    71    	  17  	  0   	  0  	 1 
S021C003P060R002A119	    91    	  52  	  0   	  0  	 1 
S022C001P063R002A113	    59    	  23  	  0   	  1  	 0 
S022C001P064R001A108	    43    	  15  	  0   	  0  	 1 
S022C001P065R001A116	    90    	  17  	  0   	  0  	 1 
S022C001P065R002A116	    71    	  11  	  0   	  0  	 1 
S022C002P061R001A106	    35    	  21  	  0   	  1  	 0 
S022C002P062R001A092	    70    	  24  	  0   	  0  	 1 
S022C002P063R001A119	    61    	  13  	  0   	  0  	 1 
S022C002P064R001A119	    75    	  57  	  0   	  0  	 1 
S022C002P064R002A107	    37    	  13  	  0   	  0  	 1 
S022C002P064R002A108	    71    	  9   	  0   	  0  	 1 
S022C002P065R001A108	    38    	  12  	  0   	  0  	 1 
S022C002P065R001A116	    93    	  14  	  0   	  0  	 1 
S022C002P065R002A116	    71    	  7   	  0   	  0  	 1 
S022C002P066R002A108	    42    	  10  	  0   	  0  	 1 
S022C002P066R002A119	    74    	  5   	  0   	  0  	 1 
S022C003P062R002A119	   103    	  68  	  0   	  0  	 1 
S022C003P063R002A119	   112    	  39  	  0   	  0  	 1 
S023C001P056R002A108	    32    	  5   	  0   	  0  	 1 
S023C001P056R002A114	   100    	  5   	  0   	  1  	 0 
S023C001P057R001A119	    59    	  38  	  0   	  0  	 1 
S023C001P058R001A116	    52    	  9   	  0   	  0  	 1 
S023C001P059R002A108	    32    	  6   	  0   	  0  	 1 
S023C001P061R001A117	    48    	  14  	  0   	  0  	 1 
S023C001P061R001A119	    71    	  3   	  0   	  0  	 1 
S023C001P064R001A108	    50    	  23  	  0   	  0  	 1 
S023C001P064R001A117	    67    	  33  	  0   	  0  	 1 
S023C001P064R001A119	    82    	  5   	  0   	  0  	 1 
S023C001P065R001A108	    48    	  18  	  0   	  0  	 1 
S023C001P065R001A117	    33    	  1   	  0   	  0  	 1 
S023C001P068R001A109	    31    	  7   	  0   	  0  	 1 
S023C001P068R001A114	    72    	  23  	  0   	  0  	 1 
S023C002P055R002A116	    47    	  1   	  0   	  0  	 1 
S023C002P058R001A116	    54    	  1   	  0   	  0  	 1 
S023C002P062R001A119	    68    	  19  	  0   	  0  	 1 
S023C002P064R002A108	    46    	  17  	  0   	  0  	 1 
S023C002P067R002A108	    37    	  11  	  0   	  0  	 1 
S023C002P068R001A108	    35    	  4   	  0   	  0  	 1 
S023C003P055R001A116	    75    	  1   	  0   	  0  	 1 
S023C003P056R001A111	    55    	  5   	  0   	  0  	 1 
S023C003P058R001A116	    71    	  15  	  0   	  0  	 1 
S023C003P058R002A116	    75    	  5   	  0   	  0  	 1 
S023C003P062R002A117	    42    	  5   	  0   	  0  	 1 
S023C003P062R002A119	    75    	  38  	  0   	  0  	 1 
S023C003P065R002A116	    85    	  13  	  0   	  0  	 1 
S024C001P061R001A119	    61    	  31  	  0   	  0  	 1 
S024C001P062R001A108	    34    	  15  	  0   	  0  	 1 
S024C001P062R001A112	    26    	  10  	  0   	  1  	 0 
S024C002P062R001A119	    58    	  21  	  0   	  0  	 1 
S024C002P062R002A108	    39    	  11  	  0   	  0  	 1 
S024C002P062R002A119	    51    	  7   	  0   	  0  	 1 
S024C002P063R002A119	    53    	  19  	  0   	  1  	 0 
S024C002P064R001A116	    54    	  15  	  0   	  0  	 1 
S024C003P064R002A119	    71    	  3   	  0   	  0  	 1 
S025C001P068R001A119	    67    	  35  	  0   	  0  	 0 
S025C002P055R001A114	    50    	  11  	  0   	  0  	 1 
S025C003P058R001A114	    74    	  8   	  0   	  0  	 1 
S025C003P059R002A116	    76    	  59  	  13  	  1  	 0 
S025C003P065R002A116	    87    	  18  	  0   	  0  	 1 
S025C003P066R001A108	    37    	  2   	  0   	  0  	 1 
S025C003P066R002A119	    85    	  61  	  0   	  0  	 1 
S026C001P069R001A116	    58    	  3   	  0   	  0  	 1 
S026C001P071R001A116	    51    	  3   	  0   	  0  	 1 
S026C001P075R001A116	    86    	  14  	  0   	  0  	 1 
S026C001P077R001A116	    89    	  5   	  0   	  0  	 1 
S026C002P044R001A116	    53    	  6   	  0   	  0  	 1 
S026C002P044R002A114	    77    	  28  	  0   	  0  	 1 
S026C002P049R001A114	    69    	  11  	  0   	  0  	 1 
S026C002P049R002A116	    51    	  11  	  0   	  0  	 0 
S026C002P051R002A116	    67    	  25  	  0   	  0  	 1 
S026C002P069R001A116	    60    	  8   	  0   	  0  	 1 
S026C002P069R002A116	    52    	  24  	  0   	  0  	 1 
S026C002P069R002A119	    68    	  21  	  0   	  0  	 1 
S026C002P070R001A116	    57    	  4   	  0   	  0  	 1 
S026C002P071R002A116	    64    	  24  	  0   	  0  	 1 
S026C002P074R001A119	    60    	  9   	  0   	  0  	 1 
S026C002P077R002A114	    72    	  34  	  0   	  0  	 1 
S026C002P077R002A116	    50    	  8   	  5   	  0  	 0 
S026C003P044R001A116	    72    	  5   	  0   	  0  	 1 
S026C003P044R002A116	    82    	  11  	  0   	  0  	 1 
S026C003P070R001A116	    78    	  1   	  0   	  0  	 1 
S026C003P071R001A116	    74    	  4   	  0   	  0  	 1 
S026C003P077R002A116	    73    	  15  	  0   	  0  	 1 
S027C001P008R001A116	    61    	  14  	  0   	  0  	 1 
S027C001P011R002A116	    82    	  9   	  0   	  0  	 1 
S027C001P078R002A116	    50    	  2   	  0   	  0  	 1 
S027C001P085R001A116	    58    	  2   	  0   	  0  	 1 
S027C001P086R001A116	    81    	  9   	  0   	  0  	 1 
S027C001P086R002A116	    54    	  1   	  0   	  0  	 1 
S027C002P006R001A116	    56    	  1   	  0   	  0  	 1 
S027C002P006R002A116	    66    	  18  	  0   	  0  	 1 
S027C002P008R002A116	    48    	  12  	  0   	  0  	 1 
S027C002P008R002A117	    43    	  8   	  0   	  1  	 0 
S027C002P011R002A113	    47    	  5   	  0   	  1  	 0 
S027C002P041R002A093	    59    	  2   	  0   	  1  	 0 
S027C002P041R002A116	    66    	  11  	  0   	  0  	 0 
S027C002P043R001A116	    52    	  3   	  0   	  0  	 1 
S027C002P043R002A117	    50    	  1   	  0   	  1  	 0 
S027C002P043R002A119	    68    	  2   	  0   	  0  	 1 
S027C002P044R001A116	    66    	  18  	  6   	  0  	 0 
S027C002P044R001A119	    64    	  42  	  0   	  0  	 1 
S027C002P044R002A116	    55    	  9   	  0   	  0  	 1 
S027C002P078R001A116	    60    	  6   	  0   	  0  	 1 
S027C002P080R002A116	   118    	  36  	  0   	  0  	 0 
S027C002P081R001A116	    70    	  13  	  0   	  0  	 1 
S027C002P082R001A116	    58    	  11  	  0   	  0  	 1 
S027C002P082R002A116	    65    	  1   	  0   	  0  	 1 
S027C002P083R002A116	    70    	  15  	  0   	  0  	 1 
S027C002P083R002A120	    45    	  26  	  0   	  1  	 0 
S027C002P084R002A119	    74    	  4   	  0   	  0  	 1 
S027C002P085R001A116	    61    	  16  	  0   	  0  	 1 
S027C002P085R002A114	    69    	  20  	  0   	  0  	 1 
S027C002P086R001A114	    58    	  1   	  0   	  0  	 1 
S027C002P086R002A116	    52    	  13  	  0   	  0  	 0 
S027C003P041R001A117	    55    	  16  	  0   	  0  	 1 
S027C003P041R001A119	   106    	  45  	  0   	  0  	 1 
S027C003P043R001A116	    70    	  23  	  3   	  0  	 1 
S027C003P043R002A116	    88    	  12  	  0   	  0  	 1 
S027C003P044R001A116	    91    	  13  	  0   	  0  	 1 
S027C003P078R001A116	    80    	  14  	  6   	  0  	 0 
S027C003P078R001A119	    81    	  30  	  0   	  0  	 1 
S027C003P078R002A116	    69    	  5   	  0   	  0  	 1 
S027C003P080R002A116	   161    	  4   	  0   	  0  	 1 
S027C003P081R001A116	    93    	  17  	  0   	  0  	 1 
S027C003P081R002A120	    87    	  13  	  0   	  1  	 0 
S027C003P083R001A116	   106    	  1   	  0   	  0  	 0 
S027C003P085R001A116	    82    	  20  	  0   	  0  	 1 
S027C003P085R001A119	   120    	  33  	  0   	  0  	 1 
S027C003P086R001A116	   115    	  6   	  0   	  0  	 0 
S027C003P086R002A116	    74    	  7   	  0   	  0  	 1 
S028C001P008R002A116	    63    	  18  	  0   	  0  	 1 
S028C001P070R001A116	    55    	  2   	  0   	  0  	 1 
S028C002P041R002A116	    52    	  2   	  0   	  0  	 1 
S028C002P046R001A116	    52    	  5   	  0   	  0  	 1 
S028C002P048R002A116	    54    	  21  	  0   	  0  	 1 
S028C002P048R002A119	    55    	  8   	  0   	  0  	 1 
S028C002P070R001A116	    58    	  13  	  0   	  0  	 1 
S028C002P070R001A120	    61    	  28  	  0   	  1  	 0 
S028C002P073R001A114	    81    	  51  	  0   	  0  	 1 
S028C003P008R001A116	    68    	  36  	  0   	  0  	 1 
S028C003P008R001A117	    48    	  5   	  0   	  1  	 0 
S028C003P073R002A120	    91    	  5   	  0   	  1  	 0 
S029C001P043R001A108	    31    	  8   	  0   	  0  	 1 
S029C001P044R002A116	    52    	  6   	  0   	  0  	 1 
S029C001P048R002A113	    36    	  11  	  0   	  1  	 0 
S029C001P074R002A108	    40    	  3   	  0   	  1  	 0 
S029C001P074R002A116	    77    	  17  	  0   	  0  	 1 
S029C001P075R002A110	    35    	  6   	  0   	  0  	 1 
S029C001P088R001A114	    64    	  3   	  0   	  1  	 0 
S029C001P089R002A115	    50    	  10  	  0   	  1  	 0 
S029C002P043R001A119	    51    	  2   	  0   	  0  	 1 
S029C002P044R002A106	    39    	  20  	  0   	  0  	 1 
S029C002P049R001A114	    95    	  30  	  0   	  0  	 1 
S029C002P067R001A117	    38    	  6   	  3   	  1  	 0 
S029C002P080R002A092	    80    	  5   	  0   	  1  	 0 
S029C002P089R001A116	    71    	  8   	  0   	  0  	 0 
S029C003P006R001A119	    75    	  31  	  0   	  0  	 1 
S029C003P006R002A117	    51    	  25  	  0   	  0  	 1 
S029C003P041R002A119	    82    	  29  	  0   	  0  	 1 
S029C003P043R001A119	    72    	  4   	  0   	  0  	 1 
S029C003P044R001A119	    62    	  23  	  0   	  0  	 1 
S029C003P044R002A119	    81    	  13  	  0   	  0  	 1 
S029C003P051R001A119	    88    	  20  	  0   	  0  	 1 
S029C003P067R001A116	    78    	  1   	  0   	  0  	 1 
S029C003P067R001A119	    77    	  4   	  0   	  0  	 1 
S029C003P067R002A114	    87    	  9   	  0   	  0  	 1 
S029C003P075R001A114	   156    	  18  	  0   	  0  	 1 
S029C003P075R001A116	   129    	  24  	  0   	  1  	 0 
S029C003P080R001A084	   183    	 101  	  0   	  0  	 1 
S029C003P080R001A116	    72    	  8   	  0   	  0  	 1 
S029C003P080R001A119	    84    	  8   	  0   	  0  	 1 
S029C003P088R002A115	    48    	  19  	  0   	  1  	 0 
S029C003P090R001A110	    45    	  10  	  0   	  1  	 0 
S030C001P088R002A116	    67    	  14  	  0   	  0  	 1 
S030C001P091R002A116	    75    	  6   	  0   	  0  	 1 
S030C001P095R001A114	    47    	  15  	  0   	  0  	 1 
S030C002P088R002A116	    66    	  10  	  0   	  0  	 1 
S030C002P088R002A119	    54    	  2   	  0   	  0  	 1 
S030C002P091R002A116	    75    	  5   	  0   	  0  	 1 
S030C003P008R001A119	    96    	  20  	  0   	  0  	 1 
S030C003P011R001A116	   108    	  11  	  0   	  0  	 1 
S030C003P044R001A119	    80    	  14  	  0   	  0  	 1 
S030C003P081R002A114	    99    	  68  	  0   	  0  	 1 
S030C003P088R001A116	    93    	  17  	  0   	  0  	 1 
