      Skeleton      	num_frames	Actor1	Actor2
S005C001P004R002A060	   100    	  0   	  54  
S005C001P010R002A060	    96    	  0   	  43  
S005C001P013R001A059	    98    	  0   	  52  
S005C001P013R001A060	    92    	  0   	  9   
S005C001P013R002A060	    80    	  0   	  32  
S005C001P015R001A059	   104    	  0   	  50  
S005C001P015R001A060	    80    	  0   	  2   
S005C001P015R002A050	    46    	  0   	  34  
S005C001P015R002A060	    95    	  0   	  45  
S005C001P016R001A059	    96    	  0   	  46  
S005C001P016R002A051	    69    	  0   	  10  
S005C001P017R002A052	    73    	  0   	  7   
S005C001P017R002A060	    64    	  0   	  14  
S005C001P018R001A059	    79    	  0   	  36  
S005C001P018R002A060	    78    	  0   	  41  
S005C001P021R002A060	    80    	  0   	  32  
S005C002P004R001A056	    71    	  0   	  1   
S005C002P004R001A057	    74    	  0   	  1   
S005C002P004R001A058	    76    	  0   	  1   
S005C002P004R001A059	    63    	  1   	  22  
S005C002P004R002A059	   103    	  0   	  85  
S005C002P004R002A060	   100    	  1   	  46  
S005C002P010R002A055	    59    	  0   	  19  
S005C002P010R002A059	    93    	  0   	  70  
S005C002P013R001A059	    98    	  0   	  59  
S005C002P013R002A050	    51    	  0   	  35  
S005C002P013R002A056	    59    	  0   	  11  
S005C002P013R002A060	    82    	  0   	  26  
S005C002P015R002A060	    95    	  0   	  25  
S005C002P016R001A055	    64    	  0   	  18  
S005C002P016R002A060	    72    	  0   	  13  
S005C002P017R001A059	    97    	  0   	  53  
S005C002P018R001A057	   117    	  0   	  75  
S005C002P018R001A060	    88    	  0   	  1   
S005C002P018R002A060	    79    	  0   	  14  
S005C002P021R001A058	   106    	  0   	  40  
S005C002P021R002A060	    81    	  0   	  21  
S005C003P004R001A059	    52    	  0   	  14  
S005C003P004R002A060	    98    	  0   	  78  
S005C003P010R001A059	    99    	  0   	  80  
S005C003P013R001A059	    98    	  0   	  69  
S005C003P013R001A060	    92    	  0   	  22  
S005C003P013R002A059	    80    	  0   	  54  
S005C003P013R002A060	    81    	  0   	  16  
S005C003P015R002A059	    96    	  0   	  45  
S005C003P016R001A060	    73    	  0   	  50  
S005C003P017R001A059	    97    	  29  	  53  
S005C003P017R001A060	    75    	  0   	  46  
S005C003P018R002A059	    85    	  0   	  28  
S005C003P021R001A059	    80    	  0   	  52  
S005C003P021R001A060	   115    	  0   	  20  
S005C003P021R002A055	    58    	  0   	  23  
S006C001P001R002A059	    98    	  0   	  24  
S006C001P007R001A059	    91    	  0   	  32  
S006C001P007R002A060	   103    	  0   	  62  
S006C001P008R001A059	    74    	  0   	  38  
S006C001P008R002A059	    98    	  0   	  44  
S006C001P015R001A060	    86    	  0   	  14  
S006C001P015R002A055	    66    	  0   	  33  
S006C001P015R002A060	    81    	  0   	  27  
S006C001P016R001A060	    94    	  0   	  18  
S006C001P017R001A059	   108    	  0   	  73  
S006C001P017R001A060	    84    	  0   	  84  
S006C001P017R002A060	    96    	  8   	  63  
S006C001P019R001A060	    84    	  0   	  18  
S006C001P019R002A059	   102    	  14  	  60  
S006C001P019R002A060	    75    	  6   	  38  
S006C001P022R001A059	   148    	  0   	  82  
S006C001P022R001A060	   110    	  0   	  2   
S006C001P023R001A059	    93    	  0   	  42  
S006C001P023R001A060	    97    	  0   	  3   
S006C001P024R001A059	    90    	  0   	  7   
S006C001P024R001A060	    80    	  0   	  50  
S006C001P024R002A059	    91    	  0   	  19  
S006C001P024R002A060	    94    	  0   	  64  
S006C002P001R001A060	    80    	  0   	  18  
S006C002P007R001A051	    66    	  0   	  6   
S006C002P007R001A060	    99    	  0   	  31  
S006C002P007R002A014	   100    	  0   	 100  
S006C002P008R001A060	    95    	  0   	  30  
S006C002P008R002A059	    50    	  0   	  21  
S006C002P008R002A060	    98    	  0   	  19  
S006C002P015R001A050	    62    	  0   	  3   
S006C002P015R001A060	    86    	  0   	  46  
S006C002P015R002A055	    66    	  0   	  28  
S006C002P015R002A060	    82    	  0   	  65  
S006C002P016R001A060	    94    	  0   	  51  
S006C002P016R002A060	    80    	  0   	  10  
S006C002P017R001A060	    91    	  0   	  52  
S006C002P017R002A060	    96    	  0   	  41  
S006C002P019R001A015	   180    	  0   	 126  
S006C002P019R001A060	    85    	  0   	  46  
S006C002P019R002A059	   102    	  0   	  61  
S006C002P019R002A060	    76    	  0   	  30  
S006C002P022R001A059	   147    	  0   	  92  
S006C002P022R002A059	    94    	  32  	  60  
S006C002P022R002A060	    94    	  0   	  39  
S006C002P023R001A060	    97    	  0   	  49  
S006C002P023R002A059	    93    	  0   	  65  
S006C002P023R002A060	    74    	  0   	  12  
S006C002P024R001A060	    80    	  0   	  25  
S006C003P001R001A059	    76    	  0   	  41  
S006C003P007R001A014	   133    	  0   	 133  
S006C003P007R001A059	    91    	  0   	  56  
S006C003P008R001A014	   136    	  0   	 136  
S006C003P008R001A059	    63    	  0   	  5   
S006C003P008R002A059	    98    	  0   	  47  
S006C003P008R002A060	   117    	  0   	  22  
S006C003P015R001A055	    67    	  0   	  6   
S006C003P015R001A060	    85    	  2   	  40  
S006C003P017R001A059	   110    	  0   	  84  
S006C003P017R001A060	    91    	  0   	  20  
S006C003P017R002A060	    96    	  0   	  33  
S006C003P019R001A059	    60    	  10  	  22  
S006C003P019R001A060	    69    	  4   	  53  
S006C003P019R002A050	    62    	  0   	  41  
S006C003P019R002A059	   102    	  0   	  44  
S006C003P019R002A060	    75    	  0   	  19  
S006C003P022R001A055	    86    	  0   	  45  
S006C003P022R002A052	    64    	  0   	  25  
S006C003P023R001A059	    94    	  0   	  47  
S006C003P023R001A060	    92    	  0   	  10  
S006C003P023R002A060	    73    	  0   	  1   
S007C001P016R002A060	    71    	  0   	  1   
S007C001P018R001A014	   143    	  0   	 143  
S007C001P019R001A052	    63    	  0   	  45  
S007C001P019R001A055	    73    	  0   	  27  
S007C001P025R002A059	    87    	  0   	  15  
S007C001P025R002A060	    78    	  0   	  65  
S007C001P026R002A052	    82    	  0   	  64  
S007C001P027R001A059	    92    	  0   	  70  
S007C001P027R001A060	    74    	  0   	  8   
S007C002P008R001A060	   103    	  0   	  62  
S007C002P008R002A060	   106    	  0   	  9   
S007C002P016R002A060	    71    	  0   	  57  
S007C002P018R001A041	    72    	  0   	  4   
S007C002P018R001A049	    77    	  0   	  48  
S007C002P025R002A055	    54    	  0   	  17  
S007C002P025R002A058	    67    	  0   	  1   
S007C002P025R002A059	    86    	  0   	  61  
S007C002P026R001A059	    85    	  0   	  21  
S007C002P027R001A059	    94    	  0   	  40  
S007C003P001R002A059	   105    	  0   	  75  
S007C003P007R001A060	    63    	  0   	  42  
S007C003P008R001A059	   100    	  0   	  84  
S007C003P008R001A060	    95    	  0   	  23  
S007C003P015R001A060	    82    	  0   	  35  
S007C003P017R002A060	    81    	  0   	  65  
S007C003P018R001A059	    85    	  0   	  55  
S007C003P019R002A055	    89    	  0   	  13  
S007C003P025R001A060	   117    	  0   	  57  
S007C003P025R002A060	    79    	  24  	  41  
S007C003P026R001A059	    85    	  0   	  70  
S007C003P027R001A050	    65    	  0   	  52  
S007C003P027R001A059	    93    	  0   	  78  
S007C003P027R001A060	    74    	  0   	  7   
S007C003P028R001A060	    91    	  16  	  33  
S008C001P007R001A060	    84    	  0   	  39  
S008C001P007R002A060	    93    	  0   	  16  
S008C001P008R001A059	    52    	  0   	  5   
S008C001P008R001A060	    97    	  0   	  12  
S008C001P008R002A059	    52    	  0   	  9   
S008C001P008R002A060	    91    	  0   	  2   
S008C001P015R001A059	    81    	  0   	  58  
S008C001P015R001A060	    78    	  0   	  21  
S008C001P019R001A059	    79    	  3   	  57  
S008C001P019R002A059	    82    	  5   	  52  
S008C001P019R002A060	    85    	  0   	  25  
S008C001P025R001A060	    84    	  0   	  33  
S008C001P025R002A059	    90    	  0   	  59  
S008C001P025R002A060	    78    	  0   	  6   
S008C001P029R001A059	    78    	  0   	  47  
S008C001P029R001A060	    73    	  0   	  12  
S008C001P030R001A018	    78    	  0   	  55  
S008C001P031R001A060	    77    	  0   	  25  
S008C001P031R002A060	    69    	  0   	  9   
S008C001P032R002A060	    68    	  0   	  47  
S008C001P033R001A060	    80    	  0   	  1   
S008C001P033R002A060	    97    	  0   	  13  
S008C001P034R001A059	   111    	  0   	  68  
S008C001P034R002A060	    75    	  0   	  7   
S008C001P035R001A060	    80    	  0   	  47  
S008C001P035R002A055	    70    	  0   	  22  
S008C001P036R002A008	    77    	  0   	  45  
S008C001P036R002A059	   129    	  0   	  65  
S008C001P036R002A060	    92    	  0   	  15  
S008C002P001R002A059	    71    	  0   	  45  
S008C002P001R002A060	    80    	  0   	  27  
S008C002P007R002A059	   112    	  0   	  60  
S008C002P007R002A060	    93    	  0   	  28  
S008C002P008R001A050	    64    	  0   	  1   
S008C002P015R001A059	    81    	  0   	  49  
S008C002P015R001A060	    78    	  0   	  31  
S008C002P015R002A060	    78    	  0   	  3   
S008C002P019R002A059	    83    	  0   	  64  
S008C002P025R001A059	    91    	  0   	  78  
S008C002P025R002A059	    90    	  2   	  72  
S008C002P025R002A060	    77    	  16  	  58  
S008C002P029R002A059	    72    	  0   	  26  
S008C002P031R001A052	    57    	  0   	  13  
S008C002P031R001A059	   103    	  0   	  61  
S008C002P031R002A055	    58    	  0   	  19  
S008C002P031R002A059	    54    	  0   	  6   
S008C002P031R002A060	    68    	  0   	  41  
S008C002P032R001A052	    67    	  0   	  26  
S008C002P032R001A059	   106    	  0   	  57  
S008C002P032R002A059	    60    	  0   	  15  
S008C002P033R001A059	   107    	  0   	  62  
S008C002P033R002A059	    49    	  0   	  26  
S008C002P033R002A060	    97    	  0   	  67  
S008C002P034R001A051	    67    	  0   	  23  
S008C002P034R001A059	   111    	  0   	  42  
S008C002P034R002A055	    49    	  0   	  4   
S008C002P034R002A059	   106    	  0   	  37  
S008C002P034R002A060	    75    	  0   	  39  
S008C002P035R001A051	    53    	  0   	  1   
S008C002P035R002A060	    79    	  0   	  58  
S008C002P036R001A051	    56    	  0   	  4   
S008C002P036R001A052	    66    	  0   	  14  
S008C002P036R001A059	   128    	  0   	  82  
S008C002P036R002A059	   128    	  0   	  57  
S008C003P001R002A055	    55    	  0   	  12  
S008C003P007R001A059	    94    	  0   	  74  
S008C003P007R001A060	    84    	  0   	  29  
S008C003P007R002A060	    91    	  0   	  12  
S008C003P008R001A055	    79    	  0   	  26  
S008C003P008R002A053	    77    	  0   	  1   
S008C003P008R002A056	    82    	  0   	  12  
S008C003P008R002A057	    69    	  0   	  55  
S008C003P008R002A059	    94    	  0   	  48  
S008C003P008R002A060	    97    	  0   	  5   
S008C003P015R001A059	    81    	  0   	  32  
S008C003P015R002A059	    77    	  0   	  58  
S008C003P019R001A059	    79    	  0   	  37  
S008C003P019R001A060	    77    	  0   	  12  
S008C003P025R001A059	    48    	  0   	  6   
S008C003P029R001A059	    78    	  0   	  40  
S008C003P030R001A059	    83    	  0   	  48  
S008C003P030R002A059	    81    	  0   	  46  
S008C003P031R001A059	    52    	  0   	  5   
S008C003P031R001A060	    77    	  0   	  4   
S008C003P031R002A059	    96    	  0   	  58  
S008C003P032R001A059	    63    	  0   	  26  
S008C003P032R001A060	    81    	  0   	  63  
S008C003P032R002A059	   101    	  0   	  59  
S008C003P032R002A060	    70    	  0   	  6   
S008C003P033R001A059	    61    	  0   	  20  
S008C003P033R002A059	    96    	  0   	  70  
S008C003P033R002A060	    96    	  0   	  5   
S008C003P034R001A059	    77    	  0   	  24  
S008C003P034R001A060	    78    	  0   	  15  
S008C003P034R002A059	   106    	  0   	  58  
S008C003P034R002A060	    75    	  0   	  7   
S008C003P035R001A059	   107    	  0   	  77  
S008C003P035R001A060	    80    	  0   	  23  
S008C003P035R002A059	   113    	  0   	  69  
S008C003P035R002A060	    79    	  0   	  4   
S008C003P036R002A059	   129    	  0   	  95  
S008C003P036R002A060	    92    	  0   	  19  
S009C001P007R002A059	   106    	  0   	  52  
S009C001P007R002A060	    89    	  0   	  29  
S009C001P008R001A059	    98    	  0   	  38  
S009C001P008R001A060	    96    	  0   	  19  
S009C001P015R001A060	    86    	  0   	  15  
S009C001P016R001A060	    87    	  0   	  36  
S009C001P016R002A060	    92    	  0   	  19  
S009C001P017R001A060	    77    	  0   	  19  
S009C001P017R002A060	    80    	  0   	  2   
S009C001P019R001A060	    94    	  0   	  12  
S009C001P025R002A060	    97    	  0   	  61  
S009C002P007R002A060	    89    	  14  	  38  
S009C002P008R002A060	    81    	  0   	  61  
S009C002P015R002A060	    94    	  0   	  57  
S009C002P016R001A060	    87    	  0   	  25  
S009C002P016R002A060	    91    	  0   	  37  
S009C002P017R001A060	    77    	  0   	  6   
S009C002P017R002A060	    80    	  0   	  2   
S009C002P019R001A055	    59    	  10  	  10  
S009C002P019R002A060	    60    	  1   	  22  
S009C002P025R001A060	    96    	  0   	  31  
S009C002P025R002A060	    94    	  8   	  63  
S009C003P007R002A060	    89    	  28  	  43  
S009C003P008R001A059	    64    	  0   	  52  
S009C003P015R001A060	    88    	  18  	  36  
S009C003P016R001A059	    85    	  0   	  72  
S009C003P016R001A060	    87    	  0   	  32  
S009C003P017R001A059	    82    	  0   	  46  
S009C003P017R001A060	    77    	  0   	  14  
S009C003P019R001A014	    61    	  0   	  61  
S009C003P019R001A060	    93    	  0   	  93  
S009C003P025R001A060	    97    	  0   	  57  
S009C003P025R002A060	   107    	  0   	  49  
S010C001P007R001A059	    82    	  0   	  38  
S010C001P007R001A060	    96    	  0   	  14  
S010C001P007R002A059	    80    	  0   	  50  
S010C001P008R001A059	    59    	  0   	  16  
S010C001P008R002A059	    59    	  0   	  15  
S010C001P013R001A060	    87    	  0   	  29  
S010C001P013R002A059	    93    	  0   	  52  
S010C001P013R002A060	    95    	  0   	  33  
S010C001P015R001A060	    86    	  0   	  18  
S010C001P015R002A056	    78    	  0   	  21  
S010C001P015R002A059	   107    	  0   	  55  
S010C001P015R002A060	    83    	  0   	  35  
S010C001P016R001A060	    84    	  0   	  20  
S010C001P016R002A060	    75    	  0   	  19  
S010C001P017R001A006	    95    	  0   	  52  
S010C001P017R001A060	    91    	  0   	  35  
S010C001P017R002A060	    97    	  0   	  34  
S010C001P018R002A008	    51    	  11  	  11  
S010C001P019R001A059	    89    	  0   	  40  
S010C001P019R002A059	    88    	  0   	  46  
S010C001P019R002A060	    92    	  0   	  7   
S010C001P021R001A060	   126    	  0   	  70  
S010C001P021R002A059	    87    	  0   	  44  
S010C001P021R002A060	   110    	  0   	  55  
S010C001P025R002A060	    90    	  6   	  42  
S010C002P007R001A026	   104    	  0   	  13  
S010C002P007R002A021	    87    	  0   	  51  
S010C002P007R002A059	    80    	  0   	  67  
S010C002P008R002A060	    97    	  3   	  56  
S010C002P013R002A059	    94    	  0   	  62  
S010C002P013R002A060	    95    	  0   	  33  
S010C002P015R002A059	   107    	  0   	  55  
S010C002P015R002A060	    83    	  0   	  15  
S010C002P017R001A060	    59    	  0   	  6   
S010C002P018R002A059	   104    	  7   	  41  
S010C002P018R002A060	    93    	  4   	  24  
S010C002P019R001A060	    91    	  0   	  63  
S010C002P021R001A059	    94    	  0   	  45  
S010C002P021R001A060	   126    	  0   	  50  
S010C002P021R002A055	    63    	  0   	  27  
S010C002P021R002A059	    89    	  0   	  69  
S010C002P021R002A060	   110    	  0   	  41  
S010C002P025R001A060	    67    	  0   	  54  
S010C002P025R002A043	    70    	  0   	  54  
S010C002P025R002A060	    90    	  0   	  35  
S010C003P007R001A060	    96    	  0   	  50  
S010C003P008R001A016	   138    	  0   	 138  
S010C003P008R001A059	    61    	  0   	  16  
S010C003P008R001A060	    97    	  0   	  42  
S010C003P013R001A059	    82    	  0   	  66  
S010C003P013R001A060	    87    	  0   	  14  
S010C003P013R002A060	    95    	  0   	  24  
S010C003P015R001A059	    95    	  0   	  28  
S010C003P015R001A060	    87    	  0   	  15  
S010C003P015R002A055	    54    	  0   	  6   
S010C003P016R001A060	   102    	  0   	  5   
S010C003P017R002A060	    96    	  0   	  18  
S010C003P018R001A060	    78    	  0   	  26  
S010C003P019R001A060	    91    	  0   	  40  
S010C003P019R002A060	    93    	  0   	  62  
S010C003P021R001A059	    94    	  9   	  51  
S010C003P021R001A060	   127    	  0   	  53  
S010C003P021R002A060	   111    	  0   	  72  
S010C003P025R001A059	    80    	  0   	  1   
S010C003P025R001A060	    72    	  1   	  30  
S010C003P025R002A059	   112    	  0   	  58  
S011C001P001R002A059	    80    	  0   	  36  
S011C001P001R002A060	    82    	  0   	  33  
S011C001P002R001A059	    89    	  0   	  28  
S011C001P002R002A060	    69    	  0   	  15  
S011C001P007R001A059	    95    	  0   	  52  
S011C001P007R001A060	    78    	  0   	  23  
S011C001P007R002A060	    80    	  0   	  80  
S011C001P008R001A059	    93    	  0   	  49  
S011C001P008R001A060	    90    	  0   	  48  
S011C001P008R002A060	   100    	  0   	  59  
S011C001P015R001A050	    46    	  0   	  32  
S011C001P015R001A060	    89    	  0   	  29  
S011C001P015R002A059	    90    	  0   	  37  
S011C001P015R002A060	    99    	  0   	  41  
S011C001P016R001A060	    94    	  0   	  21  
S011C001P016R002A059	   104    	  0   	  68  
S011C001P016R002A060	    80    	  0   	  47  
S011C001P017R001A060	    87    	  0   	  41  
S011C001P017R002A059	   100    	  0   	  47  
S011C001P017R002A060	    68    	  0   	  13  
S011C001P018R001A059	   121    	  0   	  30  
S011C001P018R001A060	   105    	  0   	  24  
S011C001P019R001A060	   103    	  0   	  48  
S011C001P019R002A060	   101    	  15  	  63  
S011C001P025R001A059	   102    	  0   	  50  
S011C001P025R001A060	    95    	  18  	  25  
S011C001P025R002A059	    90    	  2   	  75  
S011C001P027R001A060	    91    	  0   	  28  
S011C001P027R002A051	    59    	  0   	  8   
S011C001P028R001A059	   100    	  0   	  76  
S011C001P028R001A060	   102    	  0   	  40  
S011C001P028R002A060	   102    	  0   	  47  
S011C001P038R001A059	    95    	  0   	  82  
S011C001P038R001A060	   115    	  0   	  39  
S011C001P038R002A060	   106    	  0   	  49  
S011C002P001R001A059	    99    	  0   	  74  
S011C002P001R002A059	    79    	  0   	  47  
S011C002P001R002A060	    82    	  0   	  22  
S011C002P002R002A059	    70    	  0   	  32  
S011C002P002R002A060	    68    	  0   	  13  
S011C002P007R002A059	    95    	  0   	  35  
S011C002P007R002A060	    80    	  0   	  7   
S011C002P008R001A059	    93    	  0   	  54  
S011C002P008R001A060	    90    	  0   	  36  
S011C002P015R002A059	    90    	  0   	  34  
S011C002P015R002A060	    99    	  0   	  28  
S011C002P016R002A060	    80    	  0   	  29  
S011C002P017R002A055	    55    	  0   	  30  
S011C002P017R002A059	   100    	  0   	  47  
S011C002P018R002A042	   113    	  0   	  54  
S011C002P019R001A059	    71    	  10  	  14  
S011C002P019R001A060	    99    	  19  	  25  
S011C002P019R002A059	   112    	  11  	  52  
S011C002P019R002A060	   102    	  14  	  35  
S011C002P025R001A059	   102    	  0   	  60  
S011C002P025R001A060	    54    	  0   	  39  
S011C002P027R002A059	    89    	  0   	  46  
S011C002P028R002A059	    92    	  0   	  56  
S011C002P028R002A060	   101    	  23  	  30  
S011C002P038R002A060	   105    	  0   	  29  
S011C003P001R001A059	    99    	  0   	  23  
S011C003P001R002A060	    83    	  0   	  17  
S011C003P002R001A008	    51    	  0   	  18  
S011C003P002R001A059	    89    	  0   	  68  
S011C003P002R001A060	    77    	  0   	  26  
S011C003P002R002A059	   102    	  0   	  66  
S011C003P002R002A060	    69    	  0   	  4   
S011C003P007R001A059	    95    	  0   	  43  
S011C003P007R001A060	    81    	  0   	  6   
S011C003P007R002A056	   107    	  0   	  77  
S011C003P007R002A059	   106    	  0   	  28  
S011C003P008R001A060	    90    	  0   	  5   
S011C003P015R001A059	    93    	  0   	  42  
S011C003P015R001A060	    89    	  0   	  25  
S011C003P016R001A060	    95    	  0   	  11  
S011C003P016R002A060	    80    	  0   	  30  
S011C003P018R001A060	    98    	  0   	  31  
S011C003P019R001A059	    79    	  0   	  41  
S011C003P019R001A060	   104    	  0   	  40  
S011C003P019R002A014	   163    	  0   	 121  
S011C003P019R002A059	   111    	  0   	  56  
S011C003P025R001A059	   102    	  0   	  47  
S011C003P025R001A060	   100    	  0   	  13  
S011C003P025R002A060	    98    	  0   	  61  
S011C003P027R001A055	    61    	  0   	  45  
S011C003P027R001A060	    91    	  0   	  13  
S011C003P028R001A059	   100    	  0   	  57  
S011C003P028R001A060	   102    	  0   	  31  
S011C003P038R001A060	   114    	  0   	  37  
S012C001P007R001A060	    87    	  0   	  3   
S012C001P007R002A060	   106    	  0   	  63  
S012C001P008R001A059	   114    	  0   	  39  
S012C001P008R001A060	   112    	  0   	  13  
S012C001P008R002A059	   105    	  0   	  83  
S012C001P008R002A060	   107    	  0   	  51  
S012C001P015R001A060	    90    	  0   	  1   
S012C001P015R002A059	   110    	  0   	  53  
S012C001P015R002A060	    81    	  0   	  40  
S012C001P016R002A059	    94    	  0   	  22  
S012C001P016R002A060	    89    	  0   	  39  
S012C001P017R002A059	    93    	  0   	  21  
S012C001P019R001A059	   107    	  0   	  49  
S012C001P025R001A059	    98    	  0   	  19  
S012C001P025R002A060	   103    	  0   	  44  
S012C001P027R002A059	    88    	  0   	  20  
